id,code,name,categoria_ids,activar,union_id/id
employee_management_extended.record_000001,0000/73,UNION TRANVIARIOS AUTOMOTOR C/ FEDERACION EMPRESARIOS DE TRANSPORTE AUTOMOTOR DE PASAJEROS (F.E.T.A.P.),,FALSE,
employee_management_extended.record_000002,0001/06RTA,CHACO Y FORMOSA,,FALSE,
employee_management_extended.record_000003,0001/76,SINDICATO OBREROS DE EMPACADORES DE FRUTA DE RIO NEGRO Y NEUQUEN.,,FALSE,
employee_management_extended.record_000004,0001/88,SINDICATO ARG. DE EMPLEADOS Y OBREROS DELA ENSEÑANZA PRIVADA c/CONSEJO DE RECTORES DE UNIVERSIDADES PRIVADAS.,,FALSE,
employee_management_extended.record_000005,0001/88 M1,SINDICATO ARGENTINO DE EMPLEADOS Y OBREROS DE LA ENSEÑANZA PRIVADA C/ UNIVERSIDAD CATOLICA DE LA PLATA,,FALSE,
employee_management_extended.record_000006,0002/06RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000007,0002/75 E,FRIGORIFICO NACIONAL LISANDRO DE LA TORRE / ASOC. GREMIAL DEL PERS. DEL FRIGORIF.Y MERC. NAC. DE HAC. DE LA CIUDAD DE BA.,,FALSE,
employee_management_extended.record_000008,0002/88,ASOCIACION TRABAJADORES DE LA INDUSTRIALECHERA DE LA REP. ARGENTINA c/ CENTRO INDUSTRIA LECHERA Y OTRAS.,,FALSE,
employee_management_extended.record_000009,0002/89 E,SOPEZA S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000010,0002/99RTA,SANTIAGO DEL ESTERO,,FALSE,
employee_management_extended.record_000011,0003/03RTA,RIO NEGRO Y NEUQUEN,,FALSE,
employee_management_extended.record_000012,0003/75 E,Y.C.F / ASOC. TRABAJADORES DEL ESTADO,,FALSE,
employee_management_extended.record_000013,0003/89 E,DEUTZ ARGENTINA SA. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000014,0003/97RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000015,0004/06RTA,TUCUMAN,,FALSE,
